Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2012,4,126.5264729,130.2934546,127.2156525,66.50650787,173.8598328,90.50003052,152.2667199,49.46982031,330.9455261,139.8486328,116.0509012,173.3681335,196.6498734,190.2787933,140.4106658,122.1959839,98.85401833,128.8316956,205.7199402,132.106377,222.4167175,96.96967316,155.8289337,126.3162952,94.29543113,32.63353348,46.21219,132.0203704
2012,5,159.5854772,164.3812347,244.4898529,156.2056885,258.1724854,114.828949,183.256109,83.93565592,313.9736633,169.5964813,182.1072304,246.4107819,179.2325501,147.6737213,146.2796695,174.7523804,129.7194889,103.851387,226.4178162,171.161081,378.4496765,135.879837,216.2519531,133.1500448,113.3613379,66.30915833,163.5163,236.3125732
2012,6,188.2196608,194.8961162,236.638031,176.1161652,249.1064148,139.5036163,225.8152563,133.644573,380.1791687,202.4900665,151.8928339,283.6890869,119.9098127,141.2333069,174.9958522,207.792984,134.4048335,98.4105835,234.3763733,201.1696367,313.5788574,197.460968,304.5527344,139.038172,114.2225398,67.71946716,125.1679,207.8215768
2012,7,158.8989266,162.0272454,162.6157684,141.0108643,187.6716461,104.0184479,212.0859536,88.26442826,241.5575409,237.9815826,142.1257115,142.3651428,219.2131639,126.4584885,99.27024333,152.1266479,91.63129842,104.9392242,233.6498566,159.3847122,292.4076538,180.8035431,301.5229187,120.4032902,123.8365079,48.79482269,61.22329,174.9465095
2012,8,122.5096757,126.6001612,110.6384659,99.74259949,177.2662964,85.3920517,146.6494762,92.86885025,144.7993164,161.6062012,100.1385404,166.0054016,127.1194664,98.05305481,97.35196822,131.9577942,107.8509857,78.06387329,164.8113861,126.3416899,218.6783142,142.9552917,215.3175201,78.76684521,91.95624142,47.96306229,61.06734,152.3604769
2012,9,151.8957524,152.9570666,126.6968155,85.04138947,211.1724854,86.33992004,151.0661093,83.26660262,243.7095184,227.4226074,106.6874285,152.3661652,130.0567334,101.1551819,104.3113928,160.979126,143.8213828,250.4549561,171.0133514,146.7008569,309.8489685,182.107193,161.9789886,120.4692178,99.57802619,45.94752884,42.95961,146.5646751
2012,10,158.6238691,162.4205657,178.7205658,104.0494232,218.4805908,68.25163269,206.86874,75.2237687,284.0088501,174.7027283,104.1453064,163.2294312,148.6499148,130.0762024,117.9447422,175.7323456,107.4892051,169.32164,160.085434,163.7941558,374.7680664,166.1284027,300.7020874,113.1046342,82.46964768,57.26131821,71.31703,170.535029
2012,11,173.9451747,171.9340066,115.9304352,102.3488617,382.5392151,98.84762573,215.4672511,108.9499328,332.8208618,214.8198242,135.7901939,141.810257,130.576241,113.1773682,126.0992486,188.5587463,192.6908889,36.58501816,146.3899994,177.1704335,408.4349976,205.8646698,306.3358459,122.3191181,102.2030606,41.81522369,69.44031,191.3118715
2012,12,168.5829557,166.6355174,193.3574371,76.76616669,238.725708,146.4833984,178.9219414,128.8772701,270.1315308,170.515213,103.0948829,153.5653534,116.576548,141.2397614,140.1601173,164.7284241,175.3657821,156.4324951,151.526825,168.4853659,358.9934692,214.9519501,192.7684021,142.077437,108.8973922,59.80223083,84.05058,187.9952755
2013,1,167.8260242,165.8688349,110.6723251,164.3462372,223.5266113,103.5130005,177.8959503,133.2737945,318.2390442,198.884201,86.26991876,133.1490021,180.0679561,171.1817017,95.54392401,192.9524231,159.4462774,197.7275848,135.8550415,161.1748433,371.5023193,199.3589478,208.5545197,130.1575789,107.4731204,67.06057739,63.61689,157.2001213
2013,2,125.6979296,125.7673959,98.20168304,69.93822479,174.3927155,82.11314392,127.0938583,83.32894212,242.8760223,152.4201813,100.5472329,138.3507233,174.5073819,184.0668335,104.066884,164.4231415,160.5673701,151.2452545,124.1254654,127.8327155,265.6839294,128.5625,162.2560272,84.2713502,82.17815681,36.01390076,44.64429,169.9222354
2013,3,141.699635,139.3325569,81.99256897,205.7545013,258.2416687,70.89022064,96.90312455,96.66953273,259.2550964,201.0030365,147.1745002,155.1834869,100.4951229,241.0182037,124.3331255,125.9201736,158.4232682,230.1564331,129.8958435,126.5503514,274.7190247,146.1158447,83.76907349,90.5134379,97.00481412,30.59160805,58.06172,128.8649385
2013,4,134.6269293,135.8360998,106.7886276,130.4967651,206.530899,68.9395752,144.3972578,79.4584323,300.5311584,131.4647369,109.021748,148.7508087,106.5775898,199.6965637,96.51121221,134.6317902,212.2944034,167.3418274,143.9474487,133.4168302,240.4774323,135.4405823,147.9531708,119.6711113,101.0923693,24.38787079,43.64795,134.8118281
2013,5,106.4858489,105.0015782,161.5003662,145.1582336,220.8104095,78.19818878,83.90773943,51.56888945,256.8084106,65.21713257,84.93272384,122.2845764,167.8093415,130.0247955,94.14032091,109.6427612,143.6216447,150.0585938,135.0992432,104.2927592,162.9687195,109.028038,82.95886993,71.52192778,97.90918761,27.5812397,48.31976,104.4047848
2013,6,120.4443422,118.3517809,117.8675919,131.4640656,143.9737244,147.7947693,86.04860121,59.77054259,293.7850647,126.394722,102.7372716,129.938324,178.0460769,134.5019531,112.4399545,149.0504608,202.514539,192.2878723,154.9997406,118.7517529,216.7747345,126.6258545,40.4032135,102.7161109,95.36513398,45.01886749,27.53004,143.6952054
2013,7,107.9713848,107.5083217,179.2460022,162.3981171,135.83992,128.6874084,101.2737127,66.60859214,215.330307,160.8444977,102.7323038,130.0257263,206.4584824,172.2157898,121.7435081,116.5053253,92.52842778,82.51089478,127.6528931,111.3193342,141.8206787,91.43748474,115.4674759,76.2399961,107.3510159,71.34398651,22.18301,94.38737895
